language,optimization,function,calls,instructions,mem_reads,mem_writes,branches,total_cycles,avg_cycles_per_call
C,opt0,less_naive_prime,27,8202,2668,421,1227,9450674,350024
C,opt0,naive_prime,27,15996294,7998093,1599669,3199275,1666938896,61738477
C,opt0,naive_prime_squares,27,23695,10723,2195,4327,8454650,313135
C,opt3,less_naive_prime,27,8202,2668,421,1227,15011706,555989
C,opt3,naive_prime,27,15996294,7998093,1599669,3199275,1920341484,71123758
C,opt3,naive_prime_squares,27,23695,10723,2195,4327,11230336,415938
C,optfast,less_naive_prime,27,8202,2668,421,1227,9326622,345430
C,optfast,naive_prime,27,15996294,7998093,1599669,3199275,1697501546,62870427
C,optfast,naive_prime_squares,27,23695,10723,2195,4327,9186350,340235
Fortran,fortran-opt0,less_naive_prime,27,6467,2159,315,704,17738404,656977
Fortran,fortran-opt0,naive_prime,27,2771440,989819,198022,593818,628278890,23269588
Fortran,fortran-opt0,naive_prime_squares,27,17869,6396,1347,3745,18120202,671118
Fortran,fortran-opt3,less_naive_prime,27,3474,54,0,731,6913868,256069
Fortran,fortran-opt3,naive_prime,27,1237423,54,0,222810,211568224,7835860
Fortran,fortran-opt3,naive_prime_squares,27,8212,54,0,1559,31208024,1155852
Fortran,fortran-optfast,less_naive_prime,27,3474,54,0,731,7908880,292921
Fortran,fortran-optfast,naive_prime,27,1237423,54,0,222810,320626664,11875061
Fortran,fortran-optfast,naive_prime_squares,27,8212,54,0,1559,38797710,1436952
