optimization,function,calls,instructions,mem_reads,mem_writes,branches,total_cycles,avg_cycles_per_call
opt0,naive_prime,27,15996294,7998093,1599669,3199275,1655693436,61321979
opt0,naive_prime_squares,27,23695,10723,2195,4327,8795702,325766
opt1,naive_prime,27,15996294,7998093,1599669,3199275,1696976048,62850964
opt1,naive_prime_squares,27,23695,10723,2195,4327,9277522,343611
opt2,naive_prime,27,15996294,7998093,1599669,3199275,1688602722,62540841
opt2,naive_prime_squares,27,23695,10723,2195,4327,9696028,359112
opt3,naive_prime,27,15996294,7998093,1599669,3199275,1899362136,70346745
opt3,naive_prime_squares,27,23695,10723,2195,4327,11039670,408876
optfast,naive_prime,1,4798988,3199223,82,55,4348302,4348302
optfast,naive_prime_squares,1599597,11208118,4803145,1599669,3199275,1919482,1
